buffer_size,n_producer,n_consumer,wait_for_empty,wait_for_full,wait_mutex,total
2,1,1,51651,147260,1874,234944
2,1,1,54069,162558,630,264054
2,1,1,58888,122945,975,225689
2,1,1,53303,127902,1637,216071
2,1,1,57357,132999,1908,227321
2,1,1,87386,129217,892,255129
2,1,1,70397,154552,648,267178
2,1,1,45508,141113,754,228227
2,1,1,102077,152906,4505,291852
2,1,1,57191,116355,2864,219123
2,1,2,47277,338443,1057,246579
2,1,2,100502,334067,1832,289435
2,1,2,44651,277012,1182,208701
2,1,2,56447,277342,1290,222193
2,1,2,51245,308671,874,233043
2,1,2,64808,298778,2157,240200
2,1,2,75125,329325,6075,267659
2,1,2,74721,274823,2902,238386
2,1,2,85774,300979,2808,256922
2,1,2,70312,290298,2223,234876
2,1,4,54571,589158,591,218406
2,1,4,52492,750979,653,255500
2,1,4,65052,621804,974,236829
2,1,4,58914,753689,863,264339
2,1,4,51555,596328,1652,214571
2,1,4,74339,664839,666,257211
2,1,4,73690,658113,1617,246640
2,1,4,84786,530154,935,243530
2,1,4,49551,565729,859,206879
2,1,4,53904,582711,893,215268
2,1,8,70522,1.45217e+06,1678,245447
2,1,8,74465,1.47149e+06,1093,258517
2,1,8,46927,1.4046e+06,715,233460
2,1,8,65122,1.09684e+06,712,223904
2,1,8,93147,1.32934e+06,1939,262034
2,1,8,72123,1.61202e+06,1419,273437
2,1,8,62346,1.32662e+06,517,242197
2,1,8,47916,1.14332e+06,735,204755
2,1,8,67266,1.4413e+06,2109,248228
2,1,8,59409,1.09864e+06,1922,221337
2,1,16,51594,2.03368e+06,841,207338
2,1,16,105624,3.14709e+06,2253,284965
2,1,16,96938,3.46997e+06,2019,301943
2,1,16,92519,2.27052e+06,785,276333
2,1,16,74070,2.09764e+06,724,241133
2,1,16,86021,2.92460e+06,685,292168
2,1,16,118124,2.16922e+06,1217,296900
2,1,16,136731,2.77772e+06,1273,350232
2,1,16,103990,3.14132e+06,921,347133
2,1,16,155501,3.65409e+06,2270,383505
2,2,1,282501,81289,10677,244820
2,2,1,190477,66721,7439,193560
2,2,1,192017,85922,8991,200804
